Vin ,N10:d wmir 1.5e-06  (A),N10:d wmir 6e-06  (A),N10:d wmir 1.5e-05  (A),N10:d wmir 3.3e-05  (A),N10:d wmir 6.3e-05  (A),N10:d wmir 7.95e-05  (A)
0.000,3.960E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
10.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
20.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
30.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
40.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
50.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
60.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
70.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
80.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
90.00E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
100.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
110.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
120.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
130.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
140.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
150.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
160.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
170.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
180.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
190.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
200.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
210.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
220.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
230.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
240.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
250.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
260.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
270.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
280.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
290.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
300.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
310.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
320.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
330.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
340.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
350.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
360.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
370.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
380.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
390.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
400.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
410.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
420.0E-3,3.956E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
430.0E-3,3.957E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
440.0E-3,3.957E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
450.0E-3,3.957E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
460.0E-3,3.958E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
470.0E-3,3.958E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
480.0E-3,3.959E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
490.0E-3,3.959E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
500.0E-3,3.961E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
510.0E-3,3.962E-12,4.164E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
520.0E-3,3.964E-12,4.165E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
530.0E-3,3.966E-12,4.165E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
540.0E-3,3.969E-12,4.165E-12,4.270E-12,4.342E-12,4.383E-12,4.393E-12
550.0E-3,3.973E-12,4.165E-12,4.271E-12,4.342E-12,4.383E-12,4.393E-12
560.0E-3,3.977E-12,4.165E-12,4.271E-12,4.342E-12,4.383E-12,4.393E-12
570.0E-3,3.984E-12,4.165E-12,4.271E-12,4.342E-12,4.383E-12,4.393E-12
580.0E-3,3.992E-12,4.166E-12,4.271E-12,4.342E-12,4.383E-12,4.393E-12
590.0E-3,4.002E-12,4.166E-12,4.271E-12,4.343E-12,4.383E-12,4.394E-12
600.0E-3,4.015E-12,4.167E-12,4.271E-12,4.343E-12,4.384E-12,4.394E-12
610.0E-3,4.032E-12,4.168E-12,4.272E-12,4.343E-12,4.384E-12,4.394E-12
620.0E-3,4.054E-12,4.169E-12,4.272E-12,4.343E-12,4.384E-12,4.394E-12
630.0E-3,4.082E-12,4.170E-12,4.273E-12,4.344E-12,4.384E-12,4.394E-12
640.0E-3,4.119E-12,4.172E-12,4.273E-12,4.344E-12,4.385E-12,4.395E-12
650.0E-3,4.166E-12,4.174E-12,4.274E-12,4.345E-12,4.385E-12,4.395E-12
660.0E-3,4.227E-12,4.177E-12,4.275E-12,4.345E-12,4.386E-12,4.396E-12
670.0E-3,4.305E-12,4.181E-12,4.277E-12,4.346E-12,4.387E-12,4.397E-12
680.0E-3,4.406E-12,4.186E-12,4.279E-12,4.348E-12,4.388E-12,4.398E-12
690.0E-3,4.537E-12,4.193E-12,4.281E-12,4.349E-12,4.389E-12,4.399E-12
700.0E-3,4.705E-12,4.201E-12,4.284E-12,4.352E-12,4.391E-12,4.401E-12
710.0E-3,4.923E-12,4.212E-12,4.288E-12,4.354E-12,4.394E-12,4.403E-12
720.0E-3,5.204E-12,4.226E-12,4.293E-12,4.358E-12,4.397E-12,4.407E-12
730.0E-3,5.566E-12,4.244E-12,4.300E-12,4.363E-12,4.401E-12,4.411E-12
740.0E-3,6.034E-12,4.267E-12,4.309E-12,4.369E-12,4.406E-12,4.416E-12
750.0E-3,6.637E-12,4.298E-12,4.320E-12,4.377E-12,4.413E-12,4.422E-12
760.0E-3,7.414E-12,4.337E-12,4.335E-12,4.387E-12,4.422E-12,4.431E-12
770.0E-3,8.415E-12,4.389E-12,4.354E-12,4.400E-12,4.433E-12,4.442E-12
780.0E-3,9.701E-12,4.456E-12,4.379E-12,4.417E-12,4.448E-12,4.456E-12
790.0E-3,11.35E-12,4.544E-12,4.411E-12,4.439E-12,4.467E-12,4.475E-12
800.0E-3,13.48E-12,4.659E-12,4.453E-12,4.468E-12,4.492E-12,4.499E-12
810.0E-3,16.20E-12,4.809E-12,4.507E-12,4.505E-12,4.524E-12,4.530E-12
820.0E-3,19.69E-12,5.005E-12,4.579E-12,4.553E-12,4.565E-12,4.570E-12
830.0E-3,24.17E-12,5.261E-12,4.672E-12,4.616E-12,4.619E-12,4.622E-12
840.0E-3,29.90E-12,5.595E-12,4.797E-12,4.699E-12,4.690E-12,4.690E-12
850.0E-3,37.23E-12,6.029E-12,4.961E-12,4.807E-12,4.782E-12,4.778E-12
860.0E-3,46.61E-12,6.593E-12,5.178E-12,4.951E-12,4.903E-12,4.895E-12
870.0E-3,58.62E-12,7.324E-12,5.464E-12,5.143E-12,5.065E-12,5.050E-12
880.0E-3,73.97E-12,8.269E-12,5.839E-12,5.398E-12,5.280E-12,5.258E-12
890.0E-3,93.59E-12,9.489E-12,6.330E-12,5.737E-12,5.568E-12,5.535E-12
900.0E-3,118.7E-12,11.06E-12,6.969E-12,6.181E-12,5.949E-12,5.902E-12
910.0E-3,150.7E-12,13.09E-12,7.799E-12,6.762E-12,6.450E-12,6.386E-12
920.0E-3,191.7E-12,15.70E-12,8.873E-12,7.518E-12,7.105E-12,7.019E-12
930.0E-3,244.0E-12,19.05E-12,10.26E-12,8.499E-12,7.955E-12,7.843E-12
940.0E-3,310.8E-12,23.36E-12,12.05E-12,9.769E-12,9.058E-12,8.911E-12
950.0E-3,396.0E-12,28.89E-12,14.36E-12,11.41E-12,10.48E-12,10.29E-12
960.0E-3,504.9E-12,35.99E-12,17.33E-12,13.52E-12,12.32E-12,12.07E-12
970.0E-3,643.8E-12,45.10E-12,21.15E-12,16.24E-12,14.69E-12,14.37E-12
980.0E-3,820.9E-12,56.77E-12,26.05E-12,19.75E-12,17.75E-12,17.33E-12
990.0E-3,1.047E-9,71.74E-12,32.36E-12,24.25E-12,21.68E-12,21.14E-12
1.000,1.335E-9,90.92E-12,40.45E-12,30.05E-12,26.73E-12,26.03E-12
1.010,1.702E-9,115.5E-12,50.84E-12,37.48E-12,33.22E-12,32.32E-12
1.020,2.169E-9,147.0E-12,64.17E-12,47.03E-12,41.55E-12,40.40E-12
1.030,2.763E-9,187.3E-12,81.26E-12,59.29E-12,52.25E-12,50.77E-12
1.040,3.520E-9,238.9E-12,103.2E-12,75.01E-12,65.98E-12,64.08E-12
1.050,4.481E-9,304.9E-12,131.3E-12,95.18E-12,83.60E-12,81.16E-12
1.060,5.702E-9,389.4E-12,167.3E-12,121.0E-12,106.2E-12,103.1E-12
1.070,7.251E-9,497.4E-12,213.4E-12,154.2E-12,135.2E-12,131.1E-12
1.080,9.214E-9,635.5E-12,272.4E-12,196.6E-12,172.3E-12,167.1E-12
1.090,11.70E-9,812.0E-12,348.0E-12,251.0E-12,219.8E-12,213.3E-12
1.100,14.84E-9,1.037E-9,444.7E-12,320.7E-12,280.7E-12,272.3E-12
1.110,18.81E-9,1.325E-9,568.5E-12,409.8E-12,358.7E-12,347.9E-12
1.120,23.80E-9,1.692E-9,726.6E-12,523.9E-12,458.5E-12,444.7E-12
1.130,30.08E-9,2.160E-9,928.6E-12,669.6E-12,586.1E-12,568.5E-12
1.140,37.95E-9,2.756E-9,1.186E-9,855.9E-12,749.2E-12,726.6E-12
1.150,47.80E-9,3.513E-9,1.515E-9,1.094E-9,957.3E-12,928.6E-12
1.160,60.07E-9,4.474E-9,1.934E-9,1.397E-9,1.223E-9,1.186E-9
1.170,75.32E-9,5.693E-9,2.467E-9,1.782E-9,1.561E-9,1.514E-9
1.180,94.18E-9,7.235E-9,3.143E-9,2.273E-9,1.991E-9,1.932E-9
1.190,117.4E-9,9.179E-9,4.000E-9,2.895E-9,2.537E-9,2.462E-9
1.200,145.8E-9,11.63E-9,5.083E-9,3.683E-9,3.229E-9,3.133E-9
1.210,180.4E-9,14.69E-9,6.448E-9,4.678E-9,4.103E-9,3.981E-9
1.220,222.2E-9,18.52E-9,8.161E-9,5.929E-9,5.203E-9,5.049E-9
1.230,272.4E-9,23.27E-9,10.30E-9,7.495E-9,6.581E-9,6.387E-9
1.240,332.0E-9,29.13E-9,12.96E-9,9.446E-9,8.299E-9,8.056E-9
1.250,402.3E-9,36.30E-9,16.25E-9,11.86E-9,10.43E-9,10.12E-9
1.260,484.2E-9,45.01E-9,20.27E-9,14.83E-9,13.04E-9,12.67E-9
1.270,578.7E-9,55.48E-9,25.15E-9,18.44E-9,16.23E-9,15.76E-9
1.280,686.1E-9,67.90E-9,31.00E-9,22.78E-9,20.07E-9,19.50E-9
1.290,806.7E-9,82.44E-9,37.93E-9,27.94E-9,24.64E-9,23.94E-9
1.300,939.8E-9,99.20E-9,46.00E-9,33.96E-9,29.99E-9,29.14E-9
1.310,1.084E-6,118.2E-9,55.22E-9,40.88E-9,36.13E-9,35.12E-9
1.320,1.237E-6,139.1E-9,65.55E-9,48.66E-9,43.04E-9,41.84E-9
1.330,1.394E-6,161.7E-9,76.81E-9,57.17E-9,50.62E-9,49.22E-9
1.340,1.548E-6,185.4E-9,88.71E-9,66.19E-9,58.67E-9,57.06E-9
1.350,1.693E-6,209.0E-9,100.8E-9,75.40E-9,66.88E-9,65.06E-9
1.360,1.820E-6,231.5E-9,112.4E-9,84.30E-9,74.84E-9,72.81E-9
1.370,1.924E-6,251.2E-9,122.8E-9,92.27E-9,81.98E-9,79.78E-9
1.380,2.000E-6,266.6E-9,131.0E-9,98.61E-9,87.68E-9,85.33E-9
1.390,2.047E-6,276.3E-9,136.3E-9,102.7E-9,91.37E-9,88.93E-9
1.400,2.063E-6,279.6E-9,138.1E-9,104.1E-9,92.64E-9,90.18E-9
1.410,2.048E-6,276.3E-9,136.3E-9,102.7E-9,91.37E-9,88.93E-9
1.420,2.002E-6,266.5E-9,131.0E-9,98.60E-9,87.67E-9,85.33E-9
1.430,1.926E-6,251.1E-9,122.8E-9,92.23E-9,81.95E-9,79.74E-9
1.440,1.823E-6,231.3E-9,112.3E-9,84.22E-9,74.77E-9,72.74E-9
1.450,1.696E-6,208.7E-9,100.6E-9,75.26E-9,66.76E-9,64.94E-9
1.460,1.551E-6,184.9E-9,88.45E-9,65.99E-9,58.48E-9,56.88E-9
1.470,1.395E-6,161.1E-9,76.46E-9,56.90E-9,50.38E-9,48.98E-9
1.480,1.238E-6,138.3E-9,65.12E-9,48.33E-9,42.75E-9,41.56E-9
1.490,1.084E-6,117.2E-9,54.73E-9,40.51E-9,35.79E-9,34.79E-9
1.500,938.8E-9,98.17E-9,45.46E-9,33.55E-9,29.62E-9,28.78E-9
1.510,804.8E-9,81.35E-9,37.36E-9,27.50E-9,24.26E-9,23.56E-9
1.520,683.4E-9,66.76E-9,30.43E-9,22.34E-9,19.68E-9,19.12E-9
1.530,575.2E-9,54.34E-9,24.58E-9,18.01E-9,15.85E-9,15.39E-9
1.540,480.2E-9,43.90E-9,19.72E-9,14.41E-9,12.68E-9,12.31E-9
1.550,397.9E-9,35.24E-9,15.73E-9,11.47E-9,10.08E-9,9.788E-9
1.560,327.4E-9,28.13E-9,12.48E-9,9.088E-9,7.981E-9,7.747E-9
1.570,267.6E-9,22.35E-9,9.864E-9,7.169E-9,6.292E-9,6.106E-9
1.580,217.5E-9,17.68E-9,7.767E-9,5.636E-9,4.944E-9,4.797E-9
1.590,175.8E-9,13.94E-9,6.096E-9,4.418E-9,3.873E-9,3.758E-9
1.600,141.4E-9,10.96E-9,4.773E-9,3.455E-9,3.028E-9,2.937E-9
1.610,113.2E-9,8.592E-9,3.729E-9,2.696E-9,2.362E-9,2.291E-9
1.620,90.32E-9,6.722E-9,2.908E-9,2.101E-9,1.840E-9,1.784E-9
1.630,71.79E-9,5.249E-9,2.265E-9,1.634E-9,1.431E-9,1.388E-9
1.640,56.88E-9,4.092E-9,1.761E-9,1.270E-9,1.112E-9,1.078E-9
1.650,44.94E-9,3.186E-9,1.368E-9,986.2E-12,863.0E-12,836.9E-12
1.660,35.42E-9,2.477E-9,1.062E-9,765.0E-12,669.4E-12,649.2E-12
1.670,27.85E-9,1.924E-9,823.6E-12,593.2E-12,518.9E-12,503.3E-12
1.680,21.86E-9,1.494E-9,638.4E-12,459.7E-12,402.2E-12,390.0E-12
1.690,17.12E-9,1.158E-9,494.6E-12,356.2E-12,311.6E-12,302.2E-12
1.700,13.39E-9,897.8E-12,383.1E-12,276.0E-12,241.5E-12,234.2E-12
1.710,10.46E-9,695.5E-12,296.8E-12,213.8E-12,187.2E-12,181.6E-12
1.720,8.156E-9,538.6E-12,229.9E-12,165.8E-12,145.2E-12,140.9E-12
1.730,6.353E-9,416.9E-12,178.2E-12,128.6E-12,112.8E-12,109.4E-12
1.740,4.943E-9,322.8E-12,138.2E-12,99.94E-12,87.68E-12,85.10E-12
1.750,3.843E-9,249.9E-12,107.3E-12,77.77E-12,68.32E-12,66.34E-12
1.760,2.985E-9,193.5E-12,83.41E-12,60.67E-12,53.39E-12,51.86E-12
1.770,2.316E-9,150.0E-12,65.00E-12,47.48E-12,41.88E-12,40.70E-12
1.780,1.796E-9,116.3E-12,50.80E-12,37.31E-12,33.01E-12,32.11E-12
1.790,1.392E-9,90.37E-12,39.86E-12,29.48E-12,26.18E-12,25.49E-12
1.800,1.078E-9,70.33E-12,31.43E-12,23.46E-12,20.92E-12,20.39E-12
1.810,834.9E-12,54.88E-12,24.94E-12,18.82E-12,16.88E-12,16.48E-12
1.820,646.2E-12,42.98E-12,19.95E-12,15.26E-12,13.78E-12,13.47E-12
1.830,500.0E-12,33.81E-12,16.12E-12,12.53E-12,11.40E-12,11.17E-12
1.840,386.8E-12,26.75E-12,13.17E-12,10.44E-12,9.578E-12,9.400E-12
1.850,299.3E-12,21.32E-12,10.92E-12,8.832E-12,8.184E-12,8.050E-12
1.860,231.6E-12,17.15E-12,9.189E-12,7.607E-12,7.121E-12,7.020E-12
1.870,179.3E-12,13.95E-12,7.867E-12,6.675E-12,6.313E-12,6.239E-12
1.880,138.9E-12,11.49E-12,6.860E-12,5.968E-12,5.705E-12,5.652E-12
1.890,107.7E-12,9.613E-12,6.094E-12,5.438E-12,5.254E-12,5.218E-12
1.900,83.66E-12,8.173E-12,5.516E-12,5.045E-12,4.925E-12,4.902E-12
1.910,65.11E-12,7.073E-12,5.082E-12,4.760E-12,4.686E-12,4.672E-12
1.920,50.82E-12,6.236E-12,4.762E-12,4.551E-12,4.507E-12,4.500E-12
1.930,39.81E-12,5.599E-12,4.528E-12,4.394E-12,4.372E-12,4.368E-12
1.940,31.34E-12,5.117E-12,4.355E-12,4.275E-12,4.267E-12,4.267E-12
1.950,24.82E-12,4.755E-12,4.225E-12,4.183E-12,4.186E-12,4.188E-12
1.960,19.81E-12,4.483E-12,4.126E-12,4.111E-12,4.123E-12,4.126E-12
1.970,15.96E-12,4.282E-12,4.049E-12,4.055E-12,4.073E-12,4.078E-12
1.980,13.00E-12,4.131E-12,3.989E-12,4.011E-12,4.033E-12,4.039E-12
1.990,10.74E-12,4.018E-12,3.942E-12,3.975E-12,4.001E-12,4.007E-12
2.000,8.998E-12,3.933E-12,3.904E-12,3.946E-12,3.975E-12,3.982E-12
2.010,7.669E-12,3.867E-12,3.874E-12,3.922E-12,3.953E-12,3.960E-12
2.020,6.654E-12,3.815E-12,3.849E-12,3.902E-12,3.935E-12,3.942E-12
2.030,5.879E-12,3.775E-12,3.828E-12,3.886E-12,3.919E-12,3.927E-12
2.040,5.289E-12,3.742E-12,3.811E-12,3.871E-12,3.905E-12,3.913E-12
2.050,4.840E-12,3.716E-12,3.796E-12,3.858E-12,3.893E-12,3.901E-12
2.060,4.500E-12,3.694E-12,3.783E-12,3.846E-12,3.881E-12,3.890E-12
2.070,4.243E-12,3.676E-12,3.771E-12,3.836E-12,3.871E-12,3.880E-12
2.080,4.048E-12,3.660E-12,3.760E-12,3.826E-12,3.861E-12,3.870E-12
2.090,3.901E-12,3.647E-12,3.750E-12,3.817E-12,3.852E-12,3.861E-12
2.100,3.789E-12,3.635E-12,3.741E-12,3.808E-12,3.844E-12,3.852E-12
2.110,3.704E-12,3.625E-12,3.732E-12,3.799E-12,3.835E-12,3.844E-12
2.120,3.640E-12,3.615E-12,3.724E-12,3.791E-12,3.827E-12,3.836E-12
2.130,3.589E-12,3.607E-12,3.717E-12,3.784E-12,3.820E-12,3.828E-12
2.140,3.550E-12,3.600E-12,3.710E-12,3.777E-12,3.813E-12,3.821E-12
2.150,3.519E-12,3.593E-12,3.703E-12,3.770E-12,3.806E-12,3.814E-12
2.160,3.495E-12,3.587E-12,3.697E-12,3.764E-12,3.800E-12,3.808E-12
2.170,3.475E-12,3.582E-12,3.692E-12,3.759E-12,3.794E-12,3.802E-12
2.180,3.459E-12,3.578E-12,3.687E-12,3.754E-12,3.789E-12,3.797E-12
2.190,3.446E-12,3.574E-12,3.683E-12,3.749E-12,3.784E-12,3.793E-12
2.200,3.435E-12,3.571E-12,3.679E-12,3.745E-12,3.780E-12,3.789E-12
